"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-04","Apr-1995","PC","Percentage","0","Units",,,0.86313193588163,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-05","May-1995","PC","Percentage","0","Units",,,-0.122249388753051,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-06","Jun-1995","PC","Percentage","0","Units",,,-0.611995104039168,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-07","Jul-1995","PC","Percentage","0","Units",,,0.61576354679803,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-08","Aug-1995","PC","Percentage","0","Units",,,0.122399020807828,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-09","Sep-1995","PC","Percentage","0","Units",,,0.366748166259166,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-10","Oct-1995","PC","Percentage","0","Units",,,-0.365408038976855,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-11","Nov-1995","PC","Percentage","0","Units",,,0.48899755501223,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1995-12","Dec-1995","PC","Percentage","0","Units",,,0.608272506082725,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-01","Jan-1996","PC","Percentage","0","Units",,,-0.483675937122133,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-02","Feb-1996","PC","Percentage","0","Units",,,0.729040097205354,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-03","Mar-1996","PC","Percentage","0","Units",,,0.120627261761153,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-04","Apr-1996","PC","Percentage","0","Units",,,-1.20481927710843,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-05","May-1996","PC","Percentage","0","Units",,,0.731707317073166,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-06","Jun-1996","PC","Percentage","0","Units",,,-0.605326876513317,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-07","Jul-1996","PC","Percentage","0","Units",,,-0.121802679658947,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-08","Aug-1996","PC","Percentage","0","Units",,,0.731707317073166,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-09","Sep-1996","PC","Percentage","0","Units",,,0.605326876513317,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-10","Oct-1996","PC","Percentage","0","Units",,,-0.120336943441632,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-11","Nov-1996","PC","Percentage","0","Units",,,0.602409638554204,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1996-12","Dec-1996","PC","Percentage","0","Units",,,0.479041916167682,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-01","Jan-1997","PC","Percentage","0","Units",,,0,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-02","Feb-1997","PC","Percentage","0","Units",,,0.595947556615018,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-03","Mar-1997","PC","Percentage","0","Units",,,-0.829383886255927,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-04","Apr-1997","PC","Percentage","0","Units",,,0.119474313022695,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-05","May-1997","PC","Percentage","0","Units",,,0,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-06","Jun-1997","PC","Percentage","0","Units",,,0.238663484486864,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-07","Jul-1997","PC","Percentage","0","Units",,,1.7857142857143,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-08","Aug-1997","PC","Percentage","0","Units",,,-1.05263157894737,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-09","Sep-1997","PC","Percentage","0","Units",,,0.827423167848702,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-10","Oct-1997","PC","Percentage","0","Units",,,1.17233294255569,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-11","Nov-1997","PC","Percentage","0","Units",,,0.926998841251446,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1997-12","Dec-1997","PC","Percentage","0","Units",,,0.803673938002299,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-01","Jan-1998","PC","Percentage","0","Units",,,0.911161731207287,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-02","Feb-1998","PC","Percentage","0","Units",,,0.790067720090296,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-03","Mar-1998","PC","Percentage","0","Units",,,0.33594624860021,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-04","Apr-1998","PC","Percentage","0","Units",,,-0.223214285714265,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-05","May-1998","PC","Percentage","0","Units",,,-1.56599552572707,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-06","Jun-1998","PC","Percentage","0","Units",,,-0.454545454545459,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-07","Jul-1998","PC","Percentage","0","Units",,,-0.799086757990858,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-08","Aug-1998","PC","Percentage","0","Units",,,-0.230149597238219,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-09","Sep-1998","PC","Percentage","0","Units",,,-0.807381776239898,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-10","Oct-1998","PC","Percentage","0","Units",,,0.116279069767437,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-11","Nov-1998","PC","Percentage","0","Units",,,0.580720092915215,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1998-12","Dec-1998","PC","Percentage","0","Units",,,1.73210161662818,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-01","Jan-1999","PC","Percentage","0","Units",,,2.72417707150965,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-02","Feb-1999","PC","Percentage","0","Units",,,-0.552486187845304,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-03","Mar-1999","PC","Percentage","0","Units",,,0.888888888888887,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-04","Apr-1999","PC","Percentage","0","Units",,,-0.330396475770923,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-05","May-1999","PC","Percentage","0","Units",,,0.773480662983428,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-06","Jun-1999","PC","Percentage","0","Units",,,-0.548245614035088,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-07","Jul-1999","PC","Percentage","0","Units",,,1.54355016538036,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-08","Aug-1999","PC","Percentage","0","Units",,,0.760043431053206,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-09","Sep-1999","PC","Percentage","0","Units",,,0.646551724137949,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-10","Oct-1999","PC","Percentage","0","Units",,,-0.107066381156335,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-11","Nov-1999","PC","Percentage","0","Units",,,0.964630225080402,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1999-12","Dec-1999","PC","Percentage","0","Units",,,-1.38004246284501,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-01","Jan-2000","PC","Percentage","0","Units",,,0.430570505920326,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-02","Feb-2000","PC","Percentage","0","Units",,,0.214362272240099,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-03","Mar-2000","PC","Percentage","0","Units",,,-0.32085561497326,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-04","Apr-2000","PC","Percentage","0","Units",,,0,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-05","May-2000","PC","Percentage","0","Units",,,-0.643776824034353,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-06","Jun-2000","PC","Percentage","0","Units",,,0.647948164146887,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-07","Jul-2000","PC","Percentage","0","Units",,,-0.643776824034353,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-08","Aug-2000","PC","Percentage","0","Units",,,1.29589632829374,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-09","Sep-2000","PC","Percentage","0","Units",,,-0.426439232409364,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-10","Oct-2000","PC","Percentage","0","Units",,,0.42826552462525,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-11","Nov-2000","PC","Percentage","0","Units",,,0.959488272921114,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2000-12","Dec-2000","PC","Percentage","0","Units",,,2.53431890179515,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-01","Jan-2001","PC","Percentage","0","Units",,,0.720906282183308,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-02","Feb-2001","PC","Percentage","0","Units",,,0,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-03","Mar-2001","PC","Percentage","0","Units",,,0,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-04","Apr-2001","PC","Percentage","0","Units",,,-0.511247443762781,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-05","May-2001","PC","Percentage","0","Units",,,-0.924974306269254,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-06","Jun-2001","PC","Percentage","0","Units",,,0.103734439834021,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-07","Jul-2001","PC","Percentage","0","Units",,,-0.725388601036282,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-08","Aug-2001","PC","Percentage","0","Units",,,1.35699373695199,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-09","Sep-2001","PC","Percentage","0","Units",,,-1.44181256436664,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-10","Oct-2001","PC","Percentage","0","Units",,,-0.626959247648899,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-11","Nov-2001","PC","Percentage","0","Units",,,-0.210304942166132,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2001-12","Dec-2001","PC","Percentage","0","Units",,,0.31612223393044,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-01","Jan-2002","PC","Percentage","0","Units",,,0.420168067226895,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-02","Feb-2002","PC","Percentage","0","Units",,,1.15062761506278,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-03","Mar-2002","PC","Percentage","0","Units",,,3.10237849017578,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-04","Apr-2002","PC","Percentage","0","Units",,,-2.80842527582747,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-05","May-2002","PC","Percentage","0","Units",,,2.88957688338492,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-06","Jun-2002","PC","Percentage","0","Units",,,-4.81444332998996,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-07","Jul-2002","PC","Percentage","0","Units",,,3.58271865121178,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-08","Aug-2002","PC","Percentage","0","Units",,,-1.32248219735502,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","2002-09","Sep-2002","PC","Percentage","0","Units",,,1.44329896907217,,
